,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
791,100000,203.0,1095,4.866602274000009,"[3, 4, 2, 2, 4, 4, 1, 2, 3, 4]",130,100000,29
792,0,142.0,1095,4.947797897000008,"[3, 2, 2, 3, 4, 3, 0, 1, 1, 1]",130,100000,30
793,100000,206.0,1121,5.039326363999997,"[3, 3, 4, 4, 4, 3, 2, 1, 3, 3]",130,100000,30
794,0,133.0,1121,5.121114816999999,"[0, 3, 1, 2, 1, 3, 4, 4, 3, 0]",130,100000,31
795,100000,182.0,1147,5.215289832000003,"[3, 4, 1, 2, 4, 3, 4, 4, 4, 0]",130,100000,31
796,0,147.0,1147,5.295215457000005,"[3, 1, 4, 0, 3, 3, 0, 1, 4, 1]",130,100000,32
797,100000,192.0,1184,5.3956190910000075,"[4, 3, 4, 3, 3, 3, 2, 2, 4, 1]",130,100000,32
798,0,144.0,1184,5.476964181999996,"[3, 4, 1, 0, 2, 3, 0, 2, 3, 3]",130,100000,33
799,100000,221.0,1248,5.587325720000003,"[3, 4, 1, 4, 4, 4, 4, 4, 3, 3]",130,100000,33
800,0,140.0,1248,5.6863377649999975,"[0, 4, 1, 0, 0, 2, 1, 4, 4, 4]",130,100000,34
801,100000,219.0,1277,5.783374853000005,"[2, 4, 1, 4, 3, 4, 1, 4, 4, 4]",130,100000,34
802,0,0.0,1277,5.865207519000002,"[4, 4, 2, 4, 0, 0, 4, 4, 2, 4]",130,100000,35
803,100000,207.0,1301,5.9584464940000075,"[4, 4, 2, 4, 3, 4, 4, 4, 2, 2]",130,100000,35
804,0,181.0,1301,6.041240942999998,"[0, 4, 2, 4, 4, 2, 1, 3, 4, 1]",130,100000,36
805,100000,219.0,1324,6.134971306000004,"[4, 4, 2, 4, 4, 4, 1, 3, 4, 2]",130,100000,36
806,0,181.0,1324,6.218127846999998,"[1, 4, 3, 3, 4, 3, 1, 0, 4, 2]",130,100000,37
807,100000,202.0,1347,6.312372150999998,"[3, 4, 3, 4, 4, 3, 1, 0, 4, 3]",130,100000,37
808,0,159.0,1347,6.394984792999999,"[3, 1, 1, 4, 2, 3, 4, 0, 3, 4]",130,100000,38
809,100000,197.0,1365,6.483985413999996,"[3, 3, 1, 4, 2, 3, 4, 4, 3, 4]",130,100000,38
810,0,141.0,1365,6.562216509000002,"[1, 4, 1, 3, 1, 3, 4, 3, 2, 1]",130,100000,39
811,100000,208.0,1424,6.676532387000002,"[4, 4, 3, 4, 3, 4, 4, 3, 2, 2]",130,100000,39
812,0,111.0,1424,6.760813218000003,"[0, 1, 0, 3, 1, 4, 0, 0, 1, 4]",130,100000,40
813,100000,202.0,1468,6.8658229510000055,"[4, 2, 4, 3, 4, 4, 4, 1, 1, 4]",130,100000,40
814,0,129.0,1468,6.949547853000006,"[3, 3, 0, 2, 4, 1, 0, 2, 2, 2]",130,100000,41
815,100000,185.0,1491,7.0429111940000055,"[4, 3, 3, 2, 4, 2, 2, 2, 4, 2]",130,100000,41
816,0,156.0,1491,7.125668140000009,"[0, 4, 3, 2, 0, 2, 2, 4, 4, 2]",130,100000,42
817,100000,214.0,1518,7.226421719000008,"[0, 4, 4, 4, 4, 2, 2, 4, 4, 2]",130,100000,42
818,0,146.0,1518,7.311009285000004,"[4, 2, 1, 0, 3, 3, 1, 4, 4, 0]",130,100000,43
819,100000,205.0,1549,7.4088001790000035,"[4, 3, 4, 4, 3, 3, 2, 4, 4, 0]",130,100000,43
820,0,160.0,1549,7.491342084000003,"[0, 3, 3, 3, 4, 2, 1, 4, 2, 0]",130,100000,44
821,100000,221.0,1591,7.598211991999996,"[4, 3, 3, 4, 4, 4, 1, 4, 4, 1]",130,100000,44
822,0,147.0,1591,7.678137912000004,"[2, 0, 2, 4, 0, 4, 0, 3, 2, 3]",130,100000,45
823,100000,215.0,1625,7.7797543550000015,"[2, 4, 3, 4, 3, 4, 3, 4, 2, 3]",130,100000,45
824,0,147.0,1625,7.8890110360000065,"[1, 3, 0, 3, 3, 4, 3, 1, 2, 2]",130,100000,46
825,100000,216.0,1680,8.004697224000004,"[1, 4, 2, 3, 4, 4, 4, 4, 2, 4]",130,100000,46
826,0,178.0,1680,8.087445275,"[3, 3, 4, 0, 3, 4, 3, 3, 1, 3]",130,100000,47
827,100000,209.0,1702,8.188034617000007,"[4, 3, 4, 4, 3, 4, 3, 3, 1, 3]",130,100000,47
828,0,122.0,1702,8.270058276999997,"[3, 2, 3, 0, 2, 3, 1, 0, 3, 1]",130,100000,48
829,100000,177.0,1728,8.371357557000003,"[4, 4, 3, 4, 2, 3, 4, 0, 4, 1]",130,100000,48
830,0,147.0,1728,8.456902157000009,"[4, 0, 3, 2, 1, 4, 0, 4, 2, 1]",130,100000,49
831,100000,195.0,1755,8.559907613,"[4, 0, 4, 2, 3, 4, 3, 4, 4, 1]",130,100000,49
832,0,122.0,1755,8.643724463000005,"[4, 1, 2, 3, 1, 4, 4, 1, 0, 1]",130,100000,50
833,100000,177.0,1773,8.752382005000008,"[4, 4, 2, 3, 1, 4, 4, 1, 3, 3]",130,100000,50
834,0,160.0,1773,8.844252437000002,"[2, 2, 2, 3, 2, 3, 0, 2, 2, 4]",130,100000,51
835,100000,214.0,1807,8.953136166,"[2, 2, 3, 4, 3, 3, 0, 4, 4, 4]",130,100000,51
836,0,164.0,1807,9.038450993000005,"[2, 2, 1, 3, 4, 4, 4, 1, 4, 0]",130,100000,52
837,100000,204.0,1827,9.137449343000007,"[2, 2, 2, 3, 4, 4, 4, 1, 4, 4]",130,100000,52
838,0,105.0,1827,9.220058786000003,"[0, 0, 1, 0, 4, 1, 4, 4, 2, 0]",130,100000,53
839,100000,184.0,1862,9.321784510999997,"[3, 4, 4, 0, 4, 3, 4, 4, 3, 0]",130,100000,53
840,0,102.0,1862,9.408139537000004,"[1, 3, 2, 0, 1, 1, 3, 4, 1, 1]",130,100000,54
841,100000,221.0,1910,9.522112655999997,"[2, 3, 4, 4, 4, 4, 4, 4, 3, 1]",130,100000,54
842,0,0.0,1910,9.604391452000009,"[2, 4, 2, 3, 3, 3, 1, 4, 4, 4]",130,100000,55
843,100000,201.0,1924,9.700836630000005,"[2, 2, 2, 3, 3, 3, 1, 4, 4, 4]",130,100000,55
844,0,103.0,1924,9.786542716000007,"[2, 2, 0, 0, 3, 3, 1, 1, 1, 2]",130,100000,56
845,100000,190.0,1969,9.907314895000006,"[4, 4, 4, 2, 4, 3, 2, 3, 1, 2]",130,100000,56
846,0,75.0,1969,9.990529290000005,"[1, 3, 0, 0, 1, 1, 0, 1, 0, 4]",130,100000,57
847,100000,189.0,2007,10.098408259000003,"[4, 3, 1, 4, 1, 3, 3, 4, 3, 4]",130,100000,57
848,0,169.0,2007,10.184408897000004,"[0, 3, 1, 4, 2, 4, 2, 4, 1, 3]",130,100000,58
849,100000,224.0,2032,10.284298583000002,"[1, 3, 1, 4, 4, 4, 3, 4, 4, 4]",130,100000,58
850,0,145.0,2032,10.366265466000009,"[4, 4, 3, 1, 3, 3, 3, 2, 0, 1]",130,100000,59
851,100000,197.0,2054,10.467259809000005,"[4, 4, 3, 3, 3, 3, 3, 4, 3, 1]",130,100000,59
852,0,141.0,2054,10.555145025999998,"[3, 3, 0, 3, 1, 4, 3, 3, 3, 0]",130,100000,60
853,100000,212.0,2119,10.687436499000007,"[3, 4, 3, 4, 3, 4, 4, 4, 4, 0]",130,100000,60
854,0,103.0,2119,10.771702104999996,"[2, 3, 1, 1, 3, 4, 2, 0, 0, 0]",130,100000,61
855,100000,208.0,2151,10.882852569,"[4, 3, 3, 4, 3, 4, 3, 4, 4, 0]",130,100000,61
856,0,132.0,2151,10.966843212000008,"[3, 3, 1, 2, 3, 4, 4, 1, 0, 1]",130,100000,62
857,100000,185.0,2172,11.068400251000007,"[3, 4, 4, 2, 3, 4, 4, 1, 3, 1]",130,100000,62
858,0,96.0,2172,11.15384264,"[0, 0, 0, 3, 0, 4, 0, 1, 4, 0]",130,100000,63
859,100000,208.0,2217,11.268291425000008,"[3, 4, 2, 3, 4, 4, 4, 2, 4, 2]",130,100000,63
